score,content_contractions,compound,neg,neu,pos,vader_rating,keyword,word,feature
1,"i have already uploaded the medicine recipe, why i still have to consult before buying medicine?",0,0,1,0,0,"[('medicine recipe', 0.6271), ('buying medicine', 0.5984)]","('medicine recipe', 0.6271)",prescription
1,"i have already uploaded the medicine recipe, why i still have to consult before buying medicine?",0,0,1,0,0,"[('medicine recipe', 0.6271), ('buying medicine', 0.5984)]","'buying medicine', 0.5984)",buying medicine
1,1. Cannot remove profile 2. Cannot delete account,0,0,1,0,0,"[('remove profile', 0.7197), ('delete account', 0.6695)]","('remove profile', 0.7197)",delete account
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",0,0,1,0,0,"[('doctor consultation', 0.6149), ('has insurance integration', 0.4072), ('service fee', 0.3929), ('delivery', 0.2637), ('mins', 0.082)]","('doctor consultation', 0.6149)",consultation
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",0,0,1,0,0,"[('doctor consultation', 0.6149), ('has insurance integration', 0.4072), ('service fee', 0.3929), ('delivery', 0.2637), ('mins', 0.082)]","'has insurance integration', 0.4072)",insurance integration
3,"Doctor consultation always slow in responding, so 30 mins are running out quickly. Somewhat pricey delivery and service fee. Has insurance integration.",0,0,1,0,0,"[('doctor consultation', 0.6149), ('has insurance integration', 0.4072), ('service fee', 0.3929), ('delivery', 0.2637), ('mins', 0.082)]","'service fee', 0.3929)",price
5,excellent. I feel sick on the way to my destination place. then i use halodoc. I got the medicine sent to my destinatiom place. Halodoc is awesome!!,0.7256,0.092,0.673,0.235,1,"[('use halodoc', 0.5905), ('halodoc', 0.5196), ('medicine', 0.3473), ('destination place', 0.2516), ('way', 0.1109)]","('use halodoc', 0.5905)",buying medicine
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",0.5972,0.032,0.896,0.072,1,"[('updated prescription', 0.6493), ('updated app', 0.5603), ('prescription', 0.4573), ('app', 0.3097), ('doctor', 0.3035)]","('updated prescription', 0.6493)",prescription
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",0.5972,0.032,0.896,0.072,1,"[('updated prescription', 0.6493), ('updated app', 0.5603), ('prescription', 0.4573), ('app', 0.3097), ('doctor', 0.3035)]","'updated app', 0.5603)",app update
2,"What is wrong with the new updated app? I cannot order my medicine because it kept asking me to upload the prescription which is I did directly after I consulted with a doctor. Then, when I picked the payment, the page just brought me to do another consultation with a doctor since the app cannot read that my prescription is already uploaded. Turns out, the doctor who can give me another updated prescription are all not available. It is leading me to unable order my medicine. Great! Please fix this!",0.5972,0.032,0.896,0.072,1,"[('updated prescription', 0.6493), ('updated app', 0.5603), ('prescription', 0.4573), ('app', 0.3097), ('doctor', 0.3035)]","'doctor', 0.3035)",doctor
5,This app helps me a lot and it is user friendly. Thank you,0.8074,0,0.546,0.454,1,"[('app', 0.5338), ('is user', 0.1495), ('lot', 0.1251)]","('app', 0.5338)",user experience
5,Usefull and Better than the other apps,0.4404,0,0.674,0.326,1,"[('apps', 0.6862), ('usefull', 0.579)]","('apps', 0.6862)",user experience
5,Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good,0.902,0,0.706,0.294,1,"[('medicine', 0.3783), ('45mnt', 0.2099), ('respon ...', 0.1129), ('hand', 0.0823), ('..', 0.0806)]","('medicine', 0.3783)",buying medicine
5,Very helpful and quick respon ... also easy to use even to buy the medicine its all there .. you just wait and in within 45mnt its already in your hand ... good,0.902,0,0.706,0.294,1,"[('medicine', 0.3783), ('45mnt', 0.2099), ('respon ...', 0.1129), ('hand', 0.0823), ('..', 0.0806)]","'respon ...', 0.1129)",response
5,Fast and good response,0.4404,0,0.508,0.492,1,"[('response', 0.5928)]","('response', 0.5928)",response
5,Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,0.5719,0.122,0.543,0.335,1,"[('medicine', 0.3162), ('doctor', 0.296), ('problem', 0.2725), ('quick response', 0.1761)]","('medicine', 0.3162)",buying medicine
5,Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,0.5719,0.122,0.543,0.335,1,"[('medicine', 0.3162), ('doctor', 0.296), ('problem', 0.2725), ('quick response', 0.1761)]","'doctor', 0.296)",doctor
5,Quick Response to solve the problem. Hopefully the medicine given by the doctor can makes better.,0.5719,0.122,0.543,0.335,1,"[('medicine', 0.3162), ('doctor', 0.296), ('problem', 0.2725), ('quick response', 0.1761)]","'quick response', 0.1761)",response
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",-0.9052,0.258,0.685,0.058,-1,"[('driver', 0.3404), ('order', 0.3156), ('assistant bot', 0.2725), ('medication', 0.2308), ('estimated time', 0.1689)]","('driver', 0.3404)",driver
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",-0.9052,0.258,0.685,0.058,-1,"[('driver', 0.3404), ('order', 0.3156), ('assistant bot', 0.2725), ('medication', 0.2308), ('estimated time', 0.1689)]","'order', 0.3156)",order
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",-0.9052,0.258,0.685,0.058,-1,"[('driver', 0.3404), ('order', 0.3156), ('assistant bot', 0.2725), ('medication', 0.2308), ('estimated time', 0.1689)]","'assistant bot', 0.2725)",customer service
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",-0.9052,0.258,0.685,0.058,-1,"[('driver', 0.3404), ('order', 0.3156), ('assistant bot', 0.2725), ('medication', 0.2308), ('estimated time', 0.1689)]","'medication', 0.2308)",buying medicine
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",-0.9052,0.258,0.685,0.058,-1,"[('driver', 0.3404), ('order', 0.3156), ('assistant bot', 0.2725), ('medication', 0.2308), ('estimated time', 0.1689)]","'estimated time', 0.1689)",user experience
3,"My order has been confirmed but no driver to deliver the medication. I am waiting way longer than the estimated time. Unfortunately, no real live support team to talk with and there is only virtual assistant bot which has limited predefined questions. It is a bad user experience.",-0.9052,0.258,0.685,0.058,-1,"[('driver', 0.3404), ('order', 0.3156), ('assistant bot', 0.2725), ('medication', 0.2308), ('estimated time', 0.1689)]","'estimated time', 0.1689)",time
2,"Unreliable for not 'happy flow', slow customer service turnaround.",-0.4585,0.273,0.727,0,-1,"[('customer service turnaround', 0.6304), ('flow', 0.3848)]","('customer service turnaround', 0.6304)",customer service
5,Excellent application & service,0.5719,0,0.448,0.552,2,"[('application', 0.6303), ('service', 0.5993)]","'service', 0.5993)",service
5,Very helpful app👍,0.4754,0,0.564,0.436,1,"[('app', 0.2066)]","('app', 0.2066)",user experience
5,Very good apps,0.4927,0,0.385,0.615,2,"[('apps', 0.7289)]","('apps', 0.7289)",user experience
5,The best virtual doctor apps,0.6369,0,0.488,0.512,2,"[('doctor apps', 0.7395)]","('doctor apps', 0.7395)",doctor
3,Cannot chat the doctor due to an error when I need it the most,-0.4019,0.172,0.828,0,-1,"[('doctor', 0.4648), ('error', 0.3915)]","('doctor', 0.4648)",error
3,Cannot chat the doctor due to an error when I need it the most,-0.4019,0.172,0.828,0,-1,"[('doctor', 0.4648), ('error', 0.3915)]","('doctor', 0.4648)",doctor
3,Cannot chat the doctor due to an error when I need it the most,-0.4019,0.172,0.828,0,-1,"[('doctor', 0.4648), ('error', 0.3915)]","'error', 0.3915)",chat
5,This App was pretty good and user friendly.,0.8519,0,0.35,0.65,2,"[('app', 0.5589), ('user', 0.2008)]","('app', 0.5589)",user experience
5,Welldone halo doc. 💪,0,0,1,0,0,"[('welldone halo doc', 0.938)]","('welldone halo doc', 0.938)",user experience
5,Good helpful user friendly,0.836,0,0.101,0.899,2,"[('user', 0.3927)]","('user', 0.3927)",user experience
5,To do point Kerenq,0,0,1,0,0,"[('do point kerenq', 0.9569)]","('do point kerenq', 0.9569)",user experience
5,You must not copy distribute disclose or distribute the message to the email address is tasya and make the use of this message was automatically and thanks for all your help with the email address and,0.6808,0,0.859,0.141,1,"[('email address', 0.3636), ('message', 0.3627), ('is tasya', 0.2883), ('use', 0.1199), ('thanks', 0.1042)]","('email address', 0.3636)",email address
5,You must not copy distribute disclose or distribute the message to the email address is tasya and make the use of this message was automatically and thanks for all your help with the email address and,0.6808,0,0.859,0.141,1,"[('email address', 0.3636), ('message', 0.3627), ('is tasya', 0.2883), ('use', 0.1199), ('thanks', 0.1042)]","'message', 0.3627)",message
5,Good experience so far.,0.4404,0,0.508,0.492,1,"[('experience', 0.6012)]","('experience', 0.6012)",user experience
5,"Very useful application, it also give fast respon for your complain",0.1761,0.17,0.613,0.217,1,"[('application', 0.5302), ('complain', 0.32), ('respon', 0.1884)]","'respon', 0.1884)",response
5,Nice app and good service,0.6908,0,0.345,0.655,2,"[('app', 0.5681), ('service', 0.4517)]","'service', 0.4517)",service
2,"Helpful but need a lot improvement. Instead of sending chat using sms, make a chat module.",0.7096,0,0.704,0.296,1,"[('sending chat', 0.6305), ('using sms', 0.6053), ('chat module', 0.5804), ('lot improvement', 0.2596)]","('sending chat', 0.6305)",chat
2,"Helpful but need a lot improvement. Instead of sending chat using sms, make a chat module.",0.7096,0,0.704,0.296,1,"[('sending chat', 0.6305), ('using sms', 0.6053), ('chat module', 0.5804), ('lot improvement', 0.2596)]","'lot improvement', 0.2596)",improvement
5,Very helpfull for me and my family,0,0,1,0,0,"[('family', 0.394)]","('family', 0.394)",user experience
5,This app really helpful and easy to use. Its necessary to help patient during pandemy. Thank you souch.,0.8874,0,0.55,0.45,1,"[('app', 0.5286), ('pandemy', 0.2816), ('souch', 0.0974)]","('app', 0.5286)",user experience
5,"An excellent app. I usually use it to buy medicine, and nothing more. I have not tried using other features. So far so good. Very practical and user friendly. It deserves 5 stars for now.",0.8994,0,0.745,0.255,1,"[('app', 0.5289), ('buy medicine', 0.3374), ('features', 0.3024), ('user', 0.1796), ('nothing', 0.1421)]","'buy medicine', 0.3374)",buying medicine
5,"An excellent app. I usually use it to buy medicine, and nothing more. I have not tried using other features. So far so good. Very practical and user friendly. It deserves 5 stars for now.",0.8994,0,0.745,0.255,1,"[('app', 0.5289), ('buy medicine', 0.3374), ('features', 0.3024), ('user', 0.1796), ('nothing', 0.1421)]","'user', 0.1796)",user experience
5,Very friendly doctor,0.5413,0,0.364,0.636,2,"[('doctor', 0.6488)]","('doctor', 0.6488)",doctor
1,Please fix the bug. Worst app ever. Tried to delete one of the order and tells me that need to start all over again.,-0.4215,0.144,0.775,0.081,-1,"[('bug', 0.4454), ('app', 0.362), ('order', 0.2959)]","('bug', 0.4454)",bug
1,Please fix the bug. Worst app ever. Tried to delete one of the order and tells me that need to start all over again.,-0.4215,0.144,0.775,0.081,-1,"[('bug', 0.4454), ('app', 0.362), ('order', 0.2959)]","'order', 0.2959)",order
5,"Very satisfied, keep up the advancement system🙏",0.4754,0,0.721,0.279,1,"[('advancement system', 0.422)]","('advancement system', 0.422)",system
5,Useful while lockdown,0.4404,0,0.408,0.592,2,"[('lockdown', 0.7284)]","('lockdown', 0.7284)",user experience
5,Choose the righ doctor..,0,0,1,0,0,"[('doctor', 0.5858)]","('doctor', 0.5858)",doctor
5,must have app for health assistance,0,0,1,0,0,"[('health assistance', 0.7375), ('have app', 0.5826)]","('health assistance', 0.7375)",health assistance
5,Good apps..good service,0.4404,0,0.408,0.592,2,"[('apps', 0.6158), ('good service', 0.5748)]","'good service', 0.5748)",service
5,Happy to know halodoc,0.5719,0,0.448,0.552,2,"[('know halodoc', 0.8974)]","('know halodoc', 0.8974)",user experience
4,I cannot download the digital receipt.,0,0,1,0,0,"[('receipt', 0.6008)]","('receipt', 0.6008)",receipt
5,"Good job, good aplication",0.7003,0,0.256,0.744,2,"[('aplication', 0.621), ('job', 0.4625)]","('aplication', 0.621)",user experience
4,"Halodoc should provide more information why a delivery is canceled, and make the best attempt to automatically reorder it (Do not just cancel and refund). Or, provide a simpler way to reorder it manually than going through the store menu.",0.7131,0,0.865,0.135,1,"[('halodoc', 0.4178), ('refund', 0.4085), ('delivery', 0.3527), ('store menu', 0.2095), ('way', 0.0682)]","'refund', 0.4085)",refund
4,"Halodoc should provide more information why a delivery is canceled, and make the best attempt to automatically reorder it (Do not just cancel and refund). Or, provide a simpler way to reorder it manually than going through the store menu.",0.7131,0,0.865,0.135,1,"[('halodoc', 0.4178), ('refund', 0.4085), ('delivery', 0.3527), ('store menu', 0.2095), ('way', 0.0682)]","'delivery', 0.3527)",delivery
5,"Respond within expected time, very usefull apps people no need to go out to see doctor and get medicine. It is easy and save time.",0.5994,0.073,0.726,0.201,1,"[('get medicine', 0.4788), ('apps people', 0.4201), ('save time', 0.2854), ('see doctor', 0.2376), ('expected time', 0.203)]","('get medicine', 0.4788)",buying medicine
5,"Respond within expected time, very usefull apps people no need to go out to see doctor and get medicine. It is easy and save time.",0.5994,0.073,0.726,0.201,1,"[('get medicine', 0.4788), ('apps people', 0.4201), ('save time', 0.2854), ('see doctor', 0.2376), ('expected time', 0.203)]","'save time', 0.2854)",time
5,"Respond within expected time, very usefull apps people no need to go out to see doctor and get medicine. It is easy and save time.",0.5994,0.073,0.726,0.201,1,"[('get medicine', 0.4788), ('apps people', 0.4201), ('save time', 0.2854), ('see doctor', 0.2376), ('expected time', 0.203)]","'see doctor', 0.2376)",doctor
5,Maka my life easy...,0.4404,0,0.508,0.492,1,"[('life', 0.3517)]","('life', 0.3517)",user experience
5,Great app for consult with doctor,0.6249,0,0.549,0.451,1,"[('app', 0.5302), ('doctor', 0.4944), ('consult', 0.4873)]","'doctor', 0.4944)",doctor
5,Great app for consult with doctor,0.6249,0,0.549,0.451,1,"[('app', 0.5302), ('doctor', 0.4944), ('consult', 0.4873)]","'consult', 0.4873)",consultation
5,Very helpful apps.,0.4754,0,0.393,0.607,2,"[('apps', 0.6691)]","('apps', 0.6691)",user experience
1,If only we have another option :/,-0.34,0.286,0.714,0,-1,"[('option', 0.5019)]","('option', 0.5019)",option
5,Thank you to make life easier,0.6486,0,0.43,0.57,2,"[('make life', 0.4765)]","('make life', 0.4765)",user experience
5,Good application to consulting with the doctor. Recommended .. 👍,0.5719,0,0.657,0.343,1,"[('doctor', 0.4262), ('recommended .. 👍', 0.3678), ('application', 0.3584)]","('doctor', 0.4262)",doctor
5,"Smooth UX, UI, fast, helpful doctor. Thank halodoc. Sukses terus",0.6486,0,0.602,0.398,1,"[('smooth ux', 0.6559), ('doctor', 0.3969), ('thank halodoc', 0.3877), ('ui', 0.3717), ('sukses terus', 0.2576)]","('smooth ux', 0.6559)",user experience
5,"Smooth UX, UI, fast, helpful doctor. Thank halodoc. Sukses terus",0.6486,0,0.602,0.398,1,"[('smooth ux', 0.6559), ('doctor', 0.3969), ('thank halodoc', 0.3877), ('ui', 0.3717), ('sukses terus', 0.2576)]","'doctor', 0.3969)",doctor
5,"Smooth UX, UI, fast, helpful doctor. Thank halodoc. Sukses terus",0.6486,0,0.602,0.398,1,"[('smooth ux', 0.6559), ('doctor', 0.3969), ('thank halodoc', 0.3877), ('ui', 0.3717), ('sukses terus', 0.2576)]","'ui', 0.3717)",user interface
5,"Really helpful, especially in this pandemic period, online consultation, online medicine recommendations, it makes us easier to find the 2nd opinion and quick solution when we got sick.",0.5984,0.093,0.676,0.231,1,"[('medicine recommendations', 0.5019), ('consultation', 0.2195), ('solution', 0.0902), ('opinion', 0.0875), ('period', -0.05)]","('medicine recommendations', 0.5019)",medicine recommendation
5,"Really helpful, especially in this pandemic period, online consultation, online medicine recommendations, it makes us easier to find the 2nd opinion and quick solution when we got sick.",0.5984,0.093,0.676,0.231,1,"[('medicine recommendations', 0.5019), ('consultation', 0.2195), ('solution', 0.0902), ('opinion', 0.0875), ('period', -0.05)]","'consultation', 0.2195)",consultation
5,"Really helpful, especially in this pandemic period, online consultation, online medicine recommendations, it makes us easier to find the 2nd opinion and quick solution when we got sick.",0.5984,0.093,0.676,0.231,1,"[('medicine recommendations', 0.5019), ('consultation', 0.2195), ('solution', 0.0902), ('opinion', 0.0875), ('period', -0.05)]","'solution', 0.0902)",solution
5,"Really helpful, especially in this pandemic period, online consultation, online medicine recommendations, it makes us easier to find the 2nd opinion and quick solution when we got sick.",0.5984,0.093,0.676,0.231,1,"[('medicine recommendations', 0.5019), ('consultation', 0.2195), ('solution', 0.0902), ('opinion', 0.0875), ('period', -0.05)]","'opinion', 0.0875)",opinion
5,Nice and easy to consult with doctor,0.6908,0,0.467,0.533,2,"[('doctor', 0.3469)]","('doctor', 0.3469)",doctor
5,Good consulting & medications carefully,0.5267,0,0.405,0.595,2,"[('consulting', 0.7016), ('medications', 0.5876)]","('consulting', 0.7016)",consultation
5,Good consulting & medications carefully,0.5267,0,0.405,0.595,2,"[('consulting', 0.7016), ('medications', 0.5876)]","'medications', 0.5876)",buying medicine
5,actually save lives,0.4939,0,0.385,0.615,2,"[('save lives', 0.8495)]","('save lives', 0.8495)",save lives
2,i do not understand why Halodoc always recommend me the farthest drugs store from my house and it makes the delivery fee is more expensive,0.3612,0,0.906,0.094,1,"[('halodoc', 0.541), ('drugs store', 0.4591), ('delivery fee', 0.4453), ('house', 0.0264)]","('halodoc', 0.541)",user experience
2,i do not understand why Halodoc always recommend me the farthest drugs store from my house and it makes the delivery fee is more expensive,0.3612,0,0.906,0.094,1,"[('halodoc', 0.541), ('drugs store', 0.4591), ('delivery fee', 0.4453), ('house', 0.0264)]","'delivery fee', 0.4453)",delivery fee
5,Thanks Halodoc. Thank you for your apps,0.6597,0,0.481,0.519,2,"[('thanks halodoc', 0.7281), ('apps', 0.4582)]","('thanks halodoc', 0.7281)",user experience
5,Very usefull application,0,0,1,0,0,"[('application', 0.6679)]","('application', 0.6679)",user experience
5,Really helpful for urgent situation. Fast respone.,0.6318,0,0.492,0.508,2,"[('respone', 0.4919), ('situation', 0.2728)]","('respone', 0.4919)",response
5,Friendly user application,0.4939,0,0.385,0.615,2,"[('user application', 0.8496)]","('user application', 0.8496)",user experience
5,Responsive chat support.,0.6369,0,0.161,0.839,2,"[('chat support', 0.7563)]","('chat support', 0.7563)",chat
5,Fast response and user friendly,0.4939,0,0.556,0.444,1,"[('response', 0.4786), ('user', 0.2043)]","('response', 0.4786)",response
5,"Just realized there is some kind of bug in the app. When i tried to open my appointment history, there are only a sign 'try again' but it did not solve anything. But for overall app, i really love Halodoc because it helps me a lot for laboratory appointment or even have a chat with the doctors. This apps also make a vaccine appointment a lot more easier.",0.9312,0.024,0.803,0.173,1,"[('love halodoc', 0.442), ('vaccine appointment', 0.4078), ('appointment history', 0.3842), ('apps', 0.3632), ('app', 0.3452)]","'vaccine appointment', 0.4078)",vaccine
5,"Just realized there is some kind of bug in the app. When i tried to open my appointment history, there are only a sign 'try again' but it did not solve anything. But for overall app, i really love Halodoc because it helps me a lot for laboratory appointment or even have a chat with the doctors. This apps also make a vaccine appointment a lot more easier.",0.9312,0.024,0.803,0.173,1,"[('love halodoc', 0.442), ('vaccine appointment', 0.4078), ('appointment history', 0.3842), ('apps', 0.3632), ('app', 0.3452)]","'appointment history', 0.3842)",appointment history
5,Fast respon and friendly,0.4939,0,0.484,0.516,2,"[('respon', 0.4436)]","('respon', 0.4436)",response
5,Instan help and consultancy,0.4019,0,0.526,0.474,1,"[('consultancy', 0.7367), ('instan help', 0.6851)]","('consultancy', 0.7367)",consultation
1,Always freezing or forced close whenever I tried to open my history transactions.,-0.5267,0.286,0.714,0,-1,"[('history transactions', 0.5398)]","('history transactions', 0.5398)",transaction history
5,So easy to use and simple so we can consult with doctor immediately,0.4927,0,0.79,0.21,1,"[('doctor', 0.2586)]","('doctor', 0.2586)",doctor
5,It would be nicer if there is a sick letter for us as a evidence that we are not feeling well. Thanks,-0.6111,0.309,0.59,0.101,-1,"[('letter', 0.4526), ('evidence', 0.1862), ('thanks', 0.1095)]","('letter', 0.4526)",letter
5,It would be nicer if there is a sick letter for us as a evidence that we are not feeling well. Thanks,-0.6111,0.309,0.59,0.101,-1,"[('letter', 0.4526), ('evidence', 0.1862), ('thanks', 0.1095)]","'evidence', 0.1862)",evidence
5,Makes life easier,0.4215,0,0.417,0.583,2,"[('makes life', 0.7081)]","('makes life', 0.7081)",user experience
5,Really usefull in emergency,-0.4336,0.488,0.512,0,-1,"[('emergency', 0.5873)]","('emergency', 0.5873)",user experience
5,"As a mom with many children who has to stay at home, this app is helpful masyaallah",0.4215,0,0.851,0.149,1,"[('app', 0.4176), ('mom', 0.2831), ('home', 0.267), ('children', 0.2223)]","('app', 0.4176)",user experience
4,Good aplication and reliable so far,0.4404,0,0.633,0.367,1,"[('aplication', 0.4875)]","('aplication', 0.4875)",user experience
5,"Very useful, we can consult to a doctor with our preferences, without leaving home, especially in this pandemi era",0.4927,0,0.849,0.151,1,"[('doctor', 0.3515), ('pandemi era', 0.3334), ('preferences', 0.2341), ('leaving home', 0.2314)]","('doctor', 0.3515)",doctor
5,Very user friendly and suoer fast service!,0.5818,0,0.614,0.386,1,"[('service', 0.4652), ('user', 0.2136)]","('service', 0.4652)",service
5,Very user friendly and suoer fast service!,0.5818,0,0.614,0.386,1,"[('service', 0.4652), ('user', 0.2136)]","'user', 0.2136)",user experience
5,Excellent and helpfull.... Thanks Halodoc,0.765,0,0.312,0.688,2,"[('thanks halodoc', 0.6378), ('helpfull', 0.4692), ('excellent', 0.2296)]","('thanks halodoc', 0.6378)",user experience
1,"I bought medicine from Halodoc that need prescription. The medicine came has already expired, and I cannot buy another one because the prescription can only be used once. The helpdesk said they would be reach me in 24 hours, but they have not reached me until now. If my illness is chronic, I would have died from either my illness or the expired medicine. Slow customer support 😶",-0.8703,0.164,0.78,0.056,-1,"[('need prescription', 0.5671), ('prescription', 0.5279), ('bought medicine', 0.5172), ('medicine', 0.3681), ('halodoc', 0.3143)]","('need prescription', 0.5671)",prescription
1,"I bought medicine from Halodoc that need prescription. The medicine came has already expired, and I cannot buy another one because the prescription can only be used once. The helpdesk said they would be reach me in 24 hours, but they have not reached me until now. If my illness is chronic, I would have died from either my illness or the expired medicine. Slow customer support 😶",-0.8703,0.164,0.78,0.056,-1,"[('need prescription', 0.5671), ('prescription', 0.5279), ('bought medicine', 0.5172), ('medicine', 0.3681), ('halodoc', 0.3143)]","'bought medicine', 0.5172)",buying medicine
5,Great app 👍🏻,0.6249,0,0.594,0.406,1,"[('app 👍', 0.782)]","('app 👍', 0.782)",user experience
5,A helping hand just a click away,0.6597,0,0.481,0.519,2,"[('helping hand', 0.8079), ('click', 0.4724)]","('helping hand', 0.8079)",user experience
4,"as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ",-0.2278,0.129,0.773,0.097,-1,"[('apps', 0.4548), ('faq', 0.4126), ('health purpose', 0.3431), ('menu', 0.3293), ('customer service', 0.2997)]","'faq', 0.4126)",faq
4,"as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ",-0.2278,0.129,0.773,0.097,-1,"[('apps', 0.4548), ('faq', 0.4126), ('health purpose', 0.3431), ('menu', 0.3293), ('customer service', 0.2997)]","'menu', 0.3293)",menu
4,"as an apps, this is a good apps that is easy to use with complete facilities for health purpose. my only 'complaint' is the menu to get to customer service when something went wrong is not intuitive and not easy to use. you are most of the time redirected to FAQ",-0.2278,0.129,0.773,0.097,-1,"[('apps', 0.4548), ('faq', 0.4126), ('health purpose', 0.3431), ('menu', 0.3293), ('customer service', 0.2997)]","'customer service', 0.2997)",customer service
5,Fast response! Great!,0.6892,0,0.299,0.701,2,"[('response', 0.47)]","('response', 0.47)",response
5,"easy to use, profesional medical assistance",0.4404,0,0.633,0.367,1,"[('assistance', 0.4712)]","('assistance', 0.4712)",response
5,THE BEST HELP,0.7845,0,0.127,0.873,2,"[('best help', 0.8911)]","('best help', 0.8911)",user experience
5,Useful and user friendly UI,0.7269,0,0.33,0.67,2,"[('ui', 0.7336), ('user', 0.1846)]","('ui', 0.7336)",user interface
5,Very responsive ans helpful,0.7056,0,0.255,0.745,2,"[('ans', 0.4744)]","('ans', 0.4744)",user experience
5,Keep a good work and uphrade for more best experience,0.8122,0,0.52,0.48,1,"[('uphrade', 0.5092), ('experience', 0.3705), ('work', 0.3356)]","'experience', 0.3705)",user experience
5,"Helpful, especially for covid patient",0.4215,0,0.588,0.412,1,"[('patient', 0.3986)]","('patient', 0.3986)",user experience
4,Helping many things of getting better solution by Doctor immediate action,0.7506,0,0.519,0.481,1,"[('doctor', 0.4301), ('solution', 0.3033), ('action', 0.2518), ('things', 0.1362)]","('doctor', 0.4301)",doctor
4,Helping many things of getting better solution by Doctor immediate action,0.7506,0,0.519,0.481,1,"[('doctor', 0.4301), ('solution', 0.3033), ('action', 0.2518), ('things', 0.1362)]","'solution', 0.3033)",solution
5,Awesome application and user friendly. Keep it up.,0.8074,0,0.451,0.549,2,"[('application', 0.4109), ('user', 0.231)]","('application', 0.4109)",user experience
